fiscal_year,month,total_value,n_contracts
2012-2013,10,1469908687.41,3524
2011-2012,1,1509498056.3699996,4708
2013-2014,10,584816885.4999999,3387
2012-2013,2,999883524.4399999,4289
2009-2010,1,815979333.7199999,3201
2008-2009,8,567337109.2599999,1635
2008-2009,7,399360301.53999996,1782
2020-2021,12,6290302304.960005,5654
2020-2021,3,8799294276.96,7152
2021-2022,6,2148721348.2500005,5099
2021-2022,12,1359366717.99,5320
2021-2022,3,12751298085.580004,8594
2022-2023,7,1102254932.8799999,4885
2022-2023,8,1207327371.4399996,4939
2023-2024,1,1320767193.9399998,5809
2025-2026,11,683802892.7600001,5267
2004-2005,11,5271420342.95,1424
2002-2003,3,126888.73,3
2003-2004,7,123910.0,1
2000-2001,3,92736.0,1
2026-2027,5,1239392.14,15
2002-2003,6,46359.15,2
2001-2002,1,90939.76000000001,3
2026-2027,9,35932.58,1
2019-2020,3,3844621156.139999,6086
2015-2016,4,776924082.46,4140
2019-2020,6,2003083054.4400005,4712
2019-2020,12,939941557.4799995,4685
2016-2017,4,1565183018.57,5121
2018-2019,7,1200649824.76,4865
2018-2019,8,7423928980.440001,4848
2012-2013,8,549051224.2199999,2860
2014-2015,9,1051843302.9299997,3534
2014-2015,5,5230121064.909999,3452
2013-2014,7,5131007868.159999,3302
2013-2014,8,890780325.0100002,2757
2012-2013,7,580505281.6999998,3128
2006-2007,1,275901802.84000003,1580
2008-2009,2,5297387983.0599985,3825
2020-2021,11,1239051883.1799996,5430
2021-2022,11,1156701240.5900002,5635
2022-2023,10,1179893240.7799997,5575
2022-2023,2,1395163177.2999992,5477
2024-2025,1,1001223272.6300002,5653
2025-2026,6,740996869.4200004,4728
2025-2026,12,1597716910.7200005,4872
2025-2026,3,1446594261.1300006,4515
2005-2006,1,112513354.28,1574
2008-2009,10,625281033.5400001,2056
2004-2005,6,231645806.06999996,1542
2004-2005,12,611529536.9400002,1249
2004-2005,3,449273876.86000025,3354
2007-2008,1,388009227.8299999,2424
2002-2003,11,95538259.83000001,4
2003-2004,2,21748379.64,86
2003-2004,10,1289428985.97,11
2026-2027,4,8229819.919999999,45
1998-1999,1,12558711608.400003,26
2019-2020,9,17966158281.690006,4735
2019-2020,5,2555476800.09,5431
2020-2021,4,7201928205.209999,4641
2011-2012,8,1011836830.2900002,3589
2016-2017,11,1791601331.5099983,4265
2014-2015,3,2025534840.4999993,5393
2017-2018,7,1563074051.9899993,4362
2017-2018,8,1122640520.9,4833
2014-2015,6,1188368684.1599998,3775
2015-2016,11,5875206308.930002,4243
2010-2011,7,781196751.8799999,3339
2014-2015,12,31557748760.64,3571
2009-2010,7,650111894.4499998,2768
2009-2010,8,450157237.53999984,2241
2011-2012,7,643436193.0600003,3224
2008-2009,1,3892318373.0399995,3005
2010-2011,8,573278634.4000001,2844
2021-2022,4,1597374672.8300002,5865
2022-2023,1,1783419020.4500005,5422
2023-2024,7,1784923815.1600008,5016
2023-2024,8,1079472580.0699995,5070
2024-2025,10,1353634275.240001,5386
2024-2025,2,2177768301.2200007,5853
2025-2026,5,913141438.0899997,4597
2025-2026,9,981582271.2199993,4873
2006-2007,10,464812074.50000006,1540
2006-2007,2,174010795.63000005,2005
2004-2005,5,158375571.88000003,1447
